"selection1_image","selection1_url"
"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_the_Governor_of_New_South_Wales.svg/150px-Flag_of_the_Governor_of_New_South_Wales.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_the_Governor_of_New_South_Wales.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_the_Governor_of_Queensland.svg/150px-Flag_of_the_Governor_of_Queensland.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_the_Governor_of_Queensland.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_the_Governor_of_South_Australia.svg/150px-Flag_of_the_Governor_of_South_Australia.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_the_Governor_of_South_Australia.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Flag_of_the_Governor_of_Tasmania.svg/150px-Flag_of_the_Governor_of_Tasmania.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_the_Governor_of_Tasmania.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_the_Governor_of_Victoria.svg/150px-Flag_of_the_Governor_of_Victoria.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_the_Governor_of_Victoria.svg"
"https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Flag_of_the_Governor_of_Western_Australia.svg/150px-Flag_of_the_Governor_of_Western_Australia.svg.png","https://en.wikipedia.org/wiki/File:Flag_of_the_Governor_of_Western_Australia.svg"
